,,,,,,,,RSU,No. 5,,,,,,,
Article,2,Special,Education-,,Adopted,,,,,,,,,,,
From,Date:,7/1/2025,,To,Date:,6/30/2026,Definition:,FY26,Adopted,,,,,,,
,,,,,,,,,,,,,FY26,Dollar,,Percent
,,,,,,,FY22 Actual,,FY23,Actual FY24,Actual FY25,Adopted,,Difference,,Difference
,,,,,,,,,,,,,Adopted,,,
Account,,,,,,Description,,,,,,,,,,
,1000.2800.2160.55800.900,,,,Travel,- OT - District Wide,,$0.00,,$0.00,$28.69,$300.00,$0.00,($300.00),,(100.00)
Program:,OTHER,SPECIAL,PROGRAMS,-,2800,,,$0.00,,$0.00,$28.69,$300.00,$0.00,($300.00),,(100.00)
Function:,OT -,2160,,,,,,$0.00,,$0.00,$28.69,$300.00,$0.00,($300.00),,(100.00)
,1000.2800.2170.55800.900,,,,Travel,- PT - District Wide,,$0.00,,$0.00,$303.88,$300.00,$0.00,($300.00),,(100.00)
Program:,OTHER,SPECIAL,PROGRAMS,-,2800,,,$0.00,,$0.00,$303.88,$300.00,$0.00,($300.00),,(100.00)
Function:,PT -,2170,,,,,,$0.00,,$0.00,$303.88,$300.00,$0.00,($300.00),,(100.00)
,1000.2800.2190.51010.900,,,,BCBA,Salary,,$0.00,,$0.00,$0.00,"$62,131.00","$84,967.00","$22,836.00",,36.75
,1000.2800.2190.52010.900,,,,BCBA,Benefits,,$0.00,,$0.00,$0.00,"$29,685.00","$27,249.00","($2,436.00)",,(8.21)
,1000.2800.2190.52310.900,,,,BCBA,Retirement,,$0.00,,$0.00,$0.00,"$3,057.00","$3,798.00",$741.00,,24.24
,1000.2800.2190.53000.900,,,,,Purchased Professional,,$0.00,,$0.00,"$52,312.50",$0.00,$0.00,,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,-,2800,,,$0.00,,$0.00,"$52,312.50","$94,873.00","$116,014.00","$21,141.00",,22.28
Function:,OTHER,SUPPORT,,SERVICES - 2190,,,,$0.00,,$0.00,"$52,312.50","$94,873.00","$116,014.00","$21,141.00",,22.28
,1000.2500.2330.51010.900,,,,,Instructional Strategist,"$233,936.10",,"$243,084.65",,"$188,508.79","$231,880.00","$268,529.00","$36,649.00",,15.81
,,,,,,Salaries,,,,,,,,,,
,1000.2500.2330.51040.900,,,,Admin,Salaries,"$140,837.68",,"$126,756.56",,"$127,681.13","$137,592.00","$147,250.00","$9,658.00",,7.02
,1000.2500.2330.51180.900,,,,,Support Wages,"$52,208.65",,,"$53,188.92","$38,430.00","$59,380.00","$63,542.00","$4,162.00",,7.01
,Adopted,04/09/2025,,,,,,,,,,,,,Page 30 of 91,
