,,,,,,,RSU,No. 5,,,,,,,
,Article,3 CTE-,Adopted,,,,,,,,,,,,
From,Date:,,7/1/2023,,To Date:,6/30/2024 Definition:,,FY25 Adopted,,,,,,,
,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,FY21,Actual,FY22 Actual,FY23 Actual,FY24,Adopted,,Difference,,Difference
,,,,,,,,,,,,Adopted,,,
,Account,,,,Description,,,,,,,,,,
,,1000.3000.1000.55640.300,,MVR,10 Assessment,,"$101,705.42","$142,979.04","$184,596.00",,"$272,017.00","$289,668.00","$17,651.00",,6.49
,Program:,CAREER,& TECH,ED - 3000,,"$101,705.42","$142,979.04",,"$184,596.00","$272,017.00",,"$289,668.00","$17,651.00",,6.49
,Function:,REGULAR,,INSTRUCTION,- 1000,"$101,705.42","$142,979.04",,"$184,596.00","$272,017.00",,"$289,668.00","$17,651.00",,6.49
Cost,Center:,,FREEPORT,HIGH SCHOOL,- 300,"$101,705.42","$142,979.04",,"$184,596.00","$272,017.00",,"$289,668.00","$17,651.00",,6.49
Grand,,Total:,,,,,"$101,705.42","$142,979.04","$184,596.00",,"$272,017.00","$289,668.00","$17,651.00",,6.49
,,,,,,,End,of Report,,,,,,,
,,03/27/2024,,,,,,,,,,,,32 of 81,
