,,,,2025-2026,,,
,,,Superintendent's,Proposed Budget,by Article,,
,ARTICLE,,Description,Adopted,Proposed,Difference,Difference
,#,,,2024-2025,2025-2026 in,Dollars,%
Article,1,Regular,Instruction,"$18,390,052","$18,897,261","$507,209",2.76%
Article,2,Special,Education,"$5,870,507","$6,513,451","$642,944",10.95%
Article,3,Career,& Technical,"$289,668","$307,645","$17,977",6.21%
,,,Education,,,,
Article,4,Other,Instruction,"$1,034,849","$1,119,087","$84,238",8.14%
,,(Co-Curr,& Athletics),,,,
Article,5,Student,& Staff Support,"$4,371,246","$4,644,307","$273,061",6.25%
Article,6,System,Administration,"$1,179,440","$1,263,587","$84,147",7.13%
Article,7,School,Administration,"$2,342,210","$2,514,485","$172,275",7.36%
Article,8,,Transportation & Buses,"$1,586,682","$1,931,576","$344,894",21.74%
Article,9,Facilities,& Maintenance,"$5,139,408","$5,490,511","$351,103",6.83%
Article,10,Debt,Service,"$1,111,064","$1,087,428","$(23,636)",(2.13%)
Article,11,All,Other/Nutrition,"$185,334","$139,591","$(45,743)",(24.68%)
,,Total,Articles 1-11 Budget,"$41,500,460","$43,908,929","$2,408,469",
,,Adult,Education,"$112,000","$88,000","$(24,000)",(21.43%)
,,Total,Operating Budget,"$41,612,460","$43,996,929","$2,384,469",5.73%
,Revised,03.19.2025,,,,,
