,,,,,,RSU,No.,5,,,,,
,Article 2,Special,Education,- Proposed,,,,,,,,,
From,Date:,7/1/2021,,To Date: 6/30/2022,Definition:,,FY23,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted FY23,Proposed Dollar,Difference,Difference
,Account,,,Description,,,,,,,,,
,1000.2800.2180.52310.950,,Vision,Services Retirement,"$1,354",,"$1,468",,$0,$0,$0,$0,0.00
,1000.2800.2180.53440.950,,,Professional Services - Vision,$55,,$0,,$0,$0,$0,$0,0.00
Fund:,GENERAL,FUND - 1000,,,"$4,303,887","$4,130,184",,"$3,776,140",,"$4,781,323","$4,972,716","$191,393",4.00
Grand,Total:,,,,"$4,303,887","$4,130,184",,"$3,776,140",,"$4,781,323","$4,972,716","$191,393",4.00
,,,,,,End,of Report,,,,,,
,,,,,,,,,,,,3/21/22 Page 19,
