,,,,,,,RSU,No.,5,,,,,
FY25,Article,2 Special,,Education-,Proposed,,,,,,,,,
From,Date:,3/1/2024,,To Date:,3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,Percent
,,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.2400.1000.53440.950,,Tutoring,Services,- Hospital/Homebound,ELEM$0.00,,$0.00,,"$9,109.60",$0.00,"$5,000.00","$5,000.00",0.00
Program:,,Homebound/Hospital,- 2400,,,$0.00,,$0.00,,"$9,109.60",$0.00,"$5,000.00","$5,000.00",0.00
Function:,REGULAR,,INSTRUCTION -,1000,,"$9,154.10","$20,640.53",,"$23,821.14",,"$20,614.00","$24,250.00","$3,636.00",17.64
,1000.2800.2110.53440.950,,MAINECARE,SEED-,SOCIAL WORK,$0.00,,$0.00,,$909.99,$0.00,$0.00,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,$0.00,,$0.00,,$909.99,$0.00,$0.00,$0.00,0.00
Function:,Attendance,& Social,Work - 2110,,,$0.00,,$0.00,,$909.99,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.51010.950,,Psychological,,Services Salary K-8,$0.00,"$68,177.04",,"$71,220.21",,"$74,489.00","$76,709.00","$2,220.00",2.98
,1000.2800.2140.52010.950,,Psych,Services,Benefit,$0.00,"$10,011.07",,,"$9,616.31","$11,161.00","$26,083.00","$14,922.00",133.70
,1000.2800.2140.52310.950,,Retirement,,,$0.00,"$2,618.01",,,"$2,734.69","$3,330.00","$3,711.00",$381.00,11.44
,1000.2800.2140.55800.950,,Travel,,,$0.00,,$0.00,,$133.13,$0.00,$0.00,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,$0.00,"$80,806.12",,"$83,704.34",,"$88,980.00","$106,503.00","$17,523.00",19.69
Function:,,PSYCHOLOGICAL,- 2140,,,$0.00,"$80,806.12",,"$83,704.34",,"$88,980.00","$106,503.00","$17,523.00",19.69
,1000.2800.2150.53440.950,,MAINECARE,SEED-,SPEECH/HEARING,$0.00,,$0.00,,$76.41,$0.00,$0.00,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,$0.00,,$0.00,,$76.41,$0.00,$0.00,$0.00,0.00
Function:,SPEECH,& AUDIOLOGY,- 2150,,,$0.00,,$0.00,,$76.41,$0.00,$0.00,$0.00,0.00
,1000.2800.2170.51010.950,,PT Salary,,,"$38,522.39","$38,425.23",,"$43,265.40",,"$60,522.00","$42,440.00","($18,082.00)",(29.88)
,03/13/2024,,,,,,,,,,,,29,
